iter	Passed	Remaining
0	10	4300
1	20	4005
2	28	3793
3	35	3512
4	44	3481
5	50	3336
6	58	3267
7	65	3198
8	73	3184
9	81	3185
10	88	3137
11	95	3098
12	103	3070
13	110	3033
14	117	3023
15	126	3027
16	133	2998
17	141	2994
18	149	2989
19	157	2990
20	163	2951
21	169	2911
22	175	2870
23	181	2836
24	189	2841
25	197	2834
26	205	2839
27	214	2854
28	221	2838
29	229	2824
30	237	2825
31	244	2811
32	254	2825
33	268	2885
34	273	2857
35	280	2832
36	285	2805
37	293	2798
38	300	2778
39	312	2814
40	322	2826
41	333	2839
42	339	2819
43	348	2816
44	357	2818
45	367	2829
46	375	2817
47	387	2841
48	396	2841
49	405	2838
50	417	2859
51	426	2853
52	433	2837
53	439	2817
54	451	2830
55	458	2815
56	469	2823
57	482	2843
58	490	2837
59	497	2820
60	504	2804
61	511	2787
62	518	2774
63	526	2761
64	531	2741
65	537	2721
66	545	2710
67	551	2693
68	558	2679
69	564	2661
70	570	2641
71	576	2625
72	585	2620
73	596	2627
74	607	2633
75	620	2645
76	630	2646
77	637	2633
78	646	2626
79	656	2624
80	666	2624
81	678	2631
82	688	2629
83	701	2639
84	715	2652
85	725	2649
86	735	2645
87	744	2639
88	752	2629
89	761	2622
90	770	2615
91	779	2611
92	788	2603
93	796	2594
94	805	2587
95	814	2577
96	821	2566
97	829	2556
98	839	2551
99	844	2534
100	850	2516
101	856	2501
102	865	2496
103	873	2487
104	882	2478
105	890	2469
106	895	2452
107	901	2436
108	907	2423
109	914	2410
110	920	2395
111	925	2379
112	932	2369
113	938	2354
114	945	2343
115	954	2337
116	960	2324
117	966	2310
118	972	2297
119	980	2287
120	986	2275
121	1002	2283
122	1010	2275
123	1015	2261
124	1023	2250
125	1030	2240
126	1039	2233
127	1046	2223
128	1056	2218
129	1063	2209
130	1069	2195
131	1074	2181
132	1079	2167
133	1086	2156
134	1093	2145
135	1098	2132
136	1104	2119
137	1110	2108
138	1115	2095
139	1121	2082
140	1127	2071
141	1133	2059
142	1138	2046
143	1146	2037
144	1151	2025
145	1158	2015
146	1163	2003
147	1171	1994
148	1178	1984
149	1183	1972
150	1189	1961
151	1195	1950
152	1200	1938
153	1207	1928
154	1213	1917
155	1220	1909
156	1228	1901
157	1237	1894
158	1247	1890
159	1255	1882
160	1261	1872
161	1267	1862
162	1273	1851
163	1279	1841
164	1286	1832
165	1292	1822
166	1298	1811
167	1304	1801
168	1311	1793
169	1318	1783
170	1328	1778
171	1337	1772
172	1343	1762
173	1351	1755
174	1361	1750
175	1370	1744
176	1379	1737
177	1387	1729
178	1398	1726
179	1406	1718
180	1412	1709
181	1423	1705
182	1432	1698
183	1441	1692
184	1448	1683
185	1454	1673
186	1463	1667
187	1474	1663
188	1483	1656
189	1491	1648
190	1498	1639
191	1508	1633
192	1515	1625
193	1528	1622
194	1536	1615
195	1546	1609
196	1552	1599
197	1559	1591
198	1565	1580
199	1573	1573
200	1581	1565
201	1589	1558
202	1595	1548
203	1603	1540
204	1609	1530
205	1616	1522
206	1625	1515
207	1633	1507
208	1643	1502
209	1653	1496
210	1660	1487
211	1666	1477
212	1673	1469
213	1679	1459
214	1685	1450
215	1692	1441
216	1700	1433
217	1708	1426
218	1714	1416
219	1720	1407
220	1729	1400
221	1739	1394
222	1748	1387
223	1756	1379
224	1764	1372
225	1771	1364
226	1779	1356
227	1785	1347
228	1794	1340
229	1800	1331
230	1806	1321
231	1814	1313
232	1821	1305
233	1830	1298
234	1840	1291
235	1848	1284
236	1853	1275
237	1860	1266
238	1866	1257
239	1875	1250
240	1881	1241
241	1889	1233
242	1895	1224
243	1903	1216
244	1908	1207
245	1915	1199
246	1925	1192
247	1935	1186
248	1944	1179
249	1951	1171
250	1957	1162
251	1963	1153
252	1970	1144
253	1978	1137
254	1984	1128
255	1993	1121
256	1999	1112
257	2005	1103
258	2013	1096
259	2020	1087
260	2029	1080
261	2037	1072
262	2043	1064
263	2052	1057
264	2061	1049
265	2066	1041
266	2072	1032
267	2079	1024
268	2086	1016
269	2094	1008
270	2101	1000
271	2109	992
272	2115	984
273	2122	976
274	2131	968
275	2140	961
276	2148	954
277	2156	946
278	2165	939
279	2171	930
280	2178	922
281	2186	914
282	2193	906
283	2199	898
284	2206	890
285	2215	882
286	2221	874
287	2231	867
288	2237	859
289	2246	852
290	2254	844
291	2261	836
292	2267	828
293	2273	819
294	2280	811
295	2286	803
296	2292	795
297	2297	786
298	2303	778
299	2308	769
300	2319	763
301	2328	755
302	2335	747
303	2341	739
304	2347	731
305	2354	723
306	2360	715
307	2368	707
308	2376	699
309	2383	691
310	2388	683
311	2394	675
312	2400	667
313	2408	659
314	2414	651
315	2423	644
316	2432	636
317	2440	629
318	2448	621
319	2455	613
320	2462	605
321	2471	598
322	2477	590
323	2484	582
324	2490	574
325	2497	566
326	2504	559
327	2510	551
328	2520	543
329	2532	537
330	2538	529
331	2544	521
332	2550	513
333	2557	505
334	2563	497
335	2569	489
336	2577	481
337	2583	473
338	2590	466
339	2597	458
340	2606	450
341	2614	443
342	2620	435
343	2627	427
344	2634	420
345	2641	412
346	2650	404
347	2658	397
348	2667	389
349	2673	381
350	2681	374
351	2688	366
352	2694	358
353	2700	350
354	2707	343
355	2716	335
356	2728	328
357	2735	320
358	2744	313
359	2752	305
360	2761	298
361	2768	290
362	2774	282
363	2782	275
364	2787	267
365	2795	259
366	2802	252
367	2810	244
368	2819	236
369	2825	229
370	2835	221
371	2843	214
372	2849	206
373	2858	198
374	2865	191
375	2871	183
376	2877	175
377	2882	167
378	2888	160
379	2894	152
380	2901	144
381	2909	137
382	2922	129
383	2930	122
384	2937	114
385	2944	106
386	2954	99
387	2964	91
388	2973	84
389	2981	76
390	2991	68
391	3002	61
392	3010	53
393	3018	45
394	3029	38
395	3038	30
396	3052	23
397	3065	15
398	3074	7
399	3085	0
